x	arrow-star	arrow-shortpairs	arrow-shortestpairs	ivy-random	localMinPairs-random	minWeight-random	indexMeanWeight-random
27825.0	1.5862862071443986	1.8775605548767258	1.5862502695320986	1.8300869690217798	2.308200963128018	2.5619564436139095	1.5872205850643273
31257.0	1.5844583786550661	1.8758397850150272	1.5844263868449713	1.8314031607908325	2.303890204107759	2.5559536758590102	1.5852901657175764
35111.0	1.5842162223741163	1.8760822510822408	1.584187742082485	1.833902939166088	2.3047106402369666	2.5588118022328845	1.5849567099567168
39442.0	1.583855183429248	1.8757954516644206	1.5838298303881673	1.8316051010318586	2.3049463783180957	2.556423192962025	1.584514362497784
44306.0	1.583790371724551	1.8772203037894553	1.5837678019274668	1.8333220484347779	2.305166226555645	2.557067731961125	1.584377186449092
49770.0	1.5826887143115433	1.8770971047396907	1.5826686222900923	1.8292981856904542	2.3026260272046	2.5583773683470707	1.5832111068694654
55908.0	1.5802285857375327	1.8751184961276253	1.5802106995296008	1.8288647623817187	2.2977517036613126	2.555760253268754	1.580693627144107
62802.0	1.5800041399296134	1.8741939079343264	1.5799882171233899	1.829004983838343	2.2976450169577975	2.5577281340063776	1.5804181328917477
70548.0	1.5790443521524042	1.8730669463776966	1.5790301776070592	1.830132248508114	2.296814979659515	2.5555713050504334	1.579412890331539
79248.0	1.5780262211510514	1.8715693573420558	1.5780136026953095	1.8302312962939522	2.294388572726455	2.5552246716047344	1.5783543010006371
89021.0	1.5776437285165397	1.8720990317000403	1.5776324953382435	1.8297274830940715	2.2923209993035196	2.553885556379374	1.5779357911527443
